,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate,DisciplineRate,Expenditure
150,King,17411.0,Issaquah School District,3962.0,Liberty Sr High School,P,12th Grade,328,152,0,176,0,66,5,40,0,12,205,8,0,11,2,27,0,2,6,31,35,320,328,317,326,301,328,305.0,33.0,4.0,3.0,8.0,4.0,28.0,310.0,286.0,5.0,19.0,0.9226,1.50%,19330838.5
151,King,17411.0,Issaquah School District,4495.0,Skyline High School,P,12th Grade,516,233,0,283,0,157,13,45,1,21,279,8,0,19,2,21,0,1,8,51,36,508,515,497,514,495,516,502.0,39.0,8.0,1.0,3.0,5.0,41.0,500.0,467.0,16.0,17.0,0.934,<1%,27726462.6
152,Cowlitz,8402.0,Kalama School District,5545.0,Kalama High School,P,12th Grade,79,32,0,47,1,0,3,5,0,4,66,0,0,0,2,25,0,0,6,4,11,79,79,79,77,54,79,65.0,9.0,,,2.0,1.0,5.0,69.0,60.0,6.0,3.0,0.8696,<4%,4691576.2
153,Cowlitz,8458.0,Kelso School District,2266.0,Kelso High School,P,12th Grade,443,206,0,237,10,6,1,66,1,37,322,15,0,25,21,228,2,0,34,18,45,428,442,418,422,215,441,361.0,43.0,,1.0,6.0,24.0,44.0,360.0,329.0,0.0,31.0,0.9139,2.90%,20759906.9
154,Cowlitz,8458.0,Kelso School District,1934.0,Loowit High School,A,12th Grade,13,7,0,6,0,0,0,1,0,0,12,2,0,0,3,9,0,0,4,2,1,11,13,13,10,4,13,10.0,2.0,,,5.0,1.0,1.0,11.0,2.0,3.0,6.0,0.1818,14.30%,53101.0
155,Benton,3017.0,Kennewick School District,3731.0,Kamiakin High School,P,12th Grade,440,207,1,232,2,9,22,130,1,6,270,17,0,0,2,157,43,1,27,12,41,423,440,440,438,283,397,395.0,66.0,,1.0,5.0,7.0,53.0,408.0,348.0,47.0,13.0,0.8529,1.70%,20803469.8
156,Benton,3017.0,Kennewick School District,2826.0,Kennewick High School,P,12th Grade,367,166,0,201,4,11,8,180,1,11,152,47,0,0,11,246,77,0,18,7,40,320,367,367,356,121,290,359.0,45.0,4.0,6.0,10.0,13.0,48.0,356.0,313.0,10.0,33.0,0.8792,5.00%,20768173.5
157,Benton,3017.0,Kennewick School District,1884.0,Legacy High School,A,12th Grade,102,50,0,52,3,1,1,37,1,4,55,3,0,0,6,64,10,0,37,5,4,99,100,102,96,38,92,132.0,22.0,,5.0,33.0,58.0,5.0,149.0,19.0,34.0,96.0,0.1275,2.30%,4850272.9
158,Benton,3017.0,Kennewick School District,1941.0,Mid-Columbia Parent Partnership,A,12th Grade,20,10,0,10,0,0,0,1,0,0,19,0,0,0,0,6,0,0,1,2,1,20,20,20,20,14,20,17.0,2.0,,,1.0,2.0,2.0,17.0,14.0,0.0,3.0,0.8235,<10%,2354549.3
159,Benton,3017.0,Kennewick School District,5106.0,Phoenix High School,A,12th Grade,23,12,1,10,1,0,0,9,0,0,13,3,0,0,3,18,2,0,2,4,4,20,22,23,20,5,21,17.0,1.0,,,,2.0,0.0,18.0,6.0,10.0,2.0,0.3333,25.90%,972648.2
160,Benton,3017.0,Kennewick School District,4484.0,Southridge High School,P,12th Grade,415,200,0,215,1,7,12,135,0,17,243,33,0,0,8,193,51,1,24,9,47,382,414,415,407,222,364,389.0,45.0,1.0,1.0,12.0,16.0,36.0,398.0,337.0,31.0,30.0,0.8467,6.40%,19881427.3
161,King,17415.0,Kent School District,5275.0,Individualized Graduation & Degree Program,R,12th Grade,273,132,0,141,2,18,46,82,12,22,91,23,0,0,6,143,1,1,116,12,28,250,272,273,267,130,272,197.0,20.0,,,29.0,124.0,7.0,210.0,3.0,54.0,153.0,0.0143,<1%,2797102.6
162,King,17415.0,Kent School District,2797.0,Kent-Meridian High School,P,12th Grade,457,237,0,220,0,107,92,131,20,24,83,100,0,16,7,317,2,0,26,11,43,357,457,441,450,140,455,416.0,91.0,10.0,12.0,11.0,32.0,56.0,451.0,350.0,36.0,65.0,0.7761,1.80%,25447575.1
163,King,17415.0,Kent School District,5098.0,Kent Phoenix Academy,A,12th Grade,122,61,0,61,1,8,21,34,4,15,39,3,0,0,8,69,0,0,29,17,15,119,122,122,114,53,122,97.0,9.0,,3.0,3.0,8.0,8.0,98.0,48.0,36.0,14.0,0.4898,5.80%,4199447.2
164,King,17415.0,Kent School District,4492.0,Kentlake High School,P,12th Grade,372,173,0,199,4,37,30,64,5,28,204,30,0,19,4,132,3,0,17,19,38,342,371,353,368,240,369,341.0,41.0,1.0,6.0,3.0,29.0,37.0,345.0,284.0,22.0,39.0,0.8232,3.10%,18208831.1
165,King,17415.0,Kent School District,3640.0,Kentridge High School,P,12th Grade,527,260,0,267,0,162,47,63,11,55,189,31,0,50,5,159,0,1,21,38,38,496,522,477,522,368,527,481.0,55.0,1.0,5.0,6.0,20.0,27.0,509.0,451.0,26.0,32.0,0.8861,1.30%,24919240.9
166,King,17415.0,Kent School District,4128.0,Kentwood High School,P,12th Grade,461,217,0,244,6,117,44,82,9,35,168,20,0,54,9,188,1,1,13,26,38,441,461,407,452,273,460,452.0,51.0,4.0,5.0,3.0,8.0,55.0,448.0,414.0,14.0,20.0,0.9241,1.20%,24073766.4
167,Stevens,33212.0,Kettle Falls School District,5180.0,Columbia Virtual Academy - Kettle Falls,5,12th Grade,57,26,0,31,0,1,0,13,0,3,40,0,0,0,1,21,0,0,14,2,6,57,56,57,56,36,57,70.0,20.0,1.0,,3.0,14.0,42.0,48.0,27.0,3.0,18.0,0.5625,<5%,1929815.0
168,Stevens,33212.0,Kettle Falls School District,4206.0,Kettle Falls High School,P,12th Grade,48,22,0,26,3,0,0,1,0,0,44,0,0,6,5,25,0,1,2,8,7,48,48,42,43,23,48,53.0,9.0,,,1.0,,8.0,54.0,47.0,6.0,1.0,0.8704,10.00%,3911723.1
169,Benton,3052.0,Kiona-Benton City School District,2904.0,Kiona-Benton City High School,P,12th Grade,110,54,0,56,0,0,1,45,0,2,62,18,0,1,7,73,25,0,6,5,18,92,110,109,103,37,85,104.0,19.0,,,6.0,3.0,14.0,109.0,98.0,2.0,9.0,0.8991,<3%,5837320.7
170,Kittitas,19403.0,Kittitas School District,2766.0,Kittitas High School,P,12th Grade,45,22,0,23,0,0,0,10,0,0,35,1,0,0,7,17,2,0,2,0,5,44,45,45,38,28,43,39.0,9.0,,,,1.0,5.0,43.0,38.0,4.0,1.0,0.8837,<6%,5252637.0
171,Clark,6101.0,La Center School District,4431.0,La Center High School,P,12th Grade,132,64,0,68,2,0,1,7,0,3,119,0,0,6,1,19,1,0,7,11,16,132,131,126,131,113,131,133.0,12.0,,1.0,4.0,5.0,10.0,135.0,124.0,1.0,10.0,0.9185,<2%,6837707.4
172,Skagit,29311.0,La Conner School District,2276.0,La Conner High School,P,12th Grade,42,20,0,22,13,1,0,6,0,1,21,1,0,1,0,21,8,2,5,4,5,41,42,41,42,21,34,46.0,4.0,,1.0,2.0,3.0,7.0,43.0,35.0,2.0,6.0,0.8140000000000001,<7%,4502267.2
173,Chelan,4129.0,Lake Chelan School District,4260.0,Chelan High School,P,12th Grade,118,46,0,72,0,0,1,59,0,2,56,8,0,0,6,70,9,1,1,8,7,110,118,118,112,48,109,120.0,5.0,,,,2.0,5.0,120.0,115.0,3.0,2.0,0.9583,3.30%,6591064.8
174,Snohomish,31004.0,Lake Stevens School District,2426.0,Lake Stevens Sr High School,P,12th Grade,686,314,1,371,4,35,12,86,3,48,498,10,0,42,10,160,0,7,17,69,117,676,686,644,676,526,686,650.0,54.0,,,13.0,18.0,60.0,644.0,581.0,32.0,31.0,0.9022,5.00%,24820492.9
175,King,17414.0,Lake Washington School District,4439.0,Eastlake High School,P,12th Grade,423,214,0,209,1,65,7,32,2,27,289,5,0,16,2,17,0,0,12,59,39,418,423,407,421,406,423,429.0,44.0,,1.0,2.0,11.0,61.0,412.0,385.0,13.0,14.0,0.9345,<1%,25582660.1
176,King,17414.0,Lake Washington School District,3855.0,Emerson High School,A,12th Grade,20,9,0,11,0,1,0,4,0,1,14,0,0,0,0,6,0,0,7,4,10,20,20,20,20,14,20,17.0,,,,,2.0,4.0,13.0,8.0,3.0,2.0,0.6154,<10%,1928718.3
177,King,17414.0,Lake Washington School District,1804.0,Futures School,A,12th Grade,29,15,0,14,0,2,2,8,0,1,16,1,0,0,2,8,0,0,0,0,6,28,29,29,27,21,29,38.0,5.0,,,,2.0,3.0,40.0,36.0,2.0,2.0,0.9,<7%,958467.3
178,King,17414.0,Lake Washington School District,3771.0,Juanita High School,P,12th Grade,329,166,0,163,0,65,6,49,2,26,181,11,0,13,5,72,0,0,7,24,34,318,329,316,324,257,329,334.0,37.0,5.0,3.0,3.0,6.0,45.0,326.0,300.0,9.0,17.0,0.9202,<1%,19684433.1
179,King,17414.0,Lake Washington School District,2739.0,Lake Washington High School,P,12th Grade,425,197,0,228,1,52,12,49,0,28,283,16,0,20,3,64,0,1,28,41,40,409,423,405,422,361,425,409.0,50.0,1.0,1.0,3.0,7.0,80.0,379.0,356.0,11.0,12.0,0.9393,<1%,22172239.5
180,King,17414.0,Lake Washington School District,3528.0,Redmond High School,P,12th Grade,464,230,0,234,0,97,14,53,2,43,255,12,0,40,5,54,0,0,9,68,35,452,463,424,459,410,464,451.0,62.0,,2.0,3.0,9.0,50.0,463.0,431.0,18.0,14.0,0.9309,<1%,26031953.2
181,Snohomish,31306.0,Lakewood School District,4204.0,Lakewood High School,P,12th Grade,169,83,0,86,1,3,8,26,1,14,116,2,0,6,12,54,0,3,12,10,17,167,169,163,157,115,169,156.0,31.0,,,8.0,9.0,27.0,160.0,140.0,3.0,17.0,0.875,2.90%,9559830.4
182,Adams,1158.0,Lind School District,2903.0,Lind-Ritzville High School,P,12th Grade,10,5,0,5,0,2,0,3,0,0,5,0,0,0,2,6,1,0,0,1,0,10,10,10,8,4,9,13.0,4.0,,,,1.0,6.0,11.0,9.0,1.0,1.0,0.8182,<10%,908612.7
183,Cowlitz,8122.0,Longview School District,5312.0,Discovery High School,A,12th Grade,65,36,0,29,0,0,1,19,1,5,39,2,0,1,2,46,0,1,14,3,2,63,64,64,63,19,65,58.0,17.0,,1.0,2.0,15.0,6.0,69.0,39.0,12.0,18.0,0.5652,<3%,1465406.6
184,Cowlitz,8122.0,Longview School District,3151.0,Mark Morris High School,P,12th Grade,211,108,0,103,1,7,0,34,0,19,150,7,0,23,13,78,1,1,10,2,27,204,211,188,198,133,210,212.0,25.0,,2.0,3.0,7.0,26.0,211.0,185.0,14.0,12.0,0.8768,5.10%,12691833.6
185,Cowlitz,8122.0,Longview School District,2416.0,R A Long High School,P,12th Grade,215,100,0,115,3,11,1,35,4,8,153,8,0,20,13,107,0,0,9,2,45,207,214,195,202,108,215,198.0,24.0,,1.0,2.0,1.0,23.0,199.0,189.0,6.0,4.0,0.9497,1.30%,11518289.9
186,San Juan,28144.0,Lopez School District,2632.0,Lopez Middle High School,P,12th Grade,11,10,0,1,0,3,0,2,0,0,6,2,0,0,1,2,0,0,0,0,2,9,11,11,10,9,11,14.0,5.0,,1.0,1.0,,5.0,14.0,11.0,1.0,2.0,0.7857,<10%,2076167.6
187,Whatcom,37903.0,Lummi Tribal Agency,5373.0,Lummi Nation School,Q,12th Grade,22,7,0,15,19,0,0,1,0,1,1,0,0,0,2,20,1,0,2,0,9,22,22,22,20,2,21,21.0,2.0,,,,1.0,3.0,20.0,12.0,7.0,1.0,0.6,<10%,5408890.1
188,Klickitat,20406.0,Lyle School District,3111.0,Lyle High School,P,12th Grade,21,10,0,11,1,0,0,4,0,2,14,0,0,0,4,12,1,0,3,0,1,21,21,21,17,9,20,26.0,3.0,,1.0,1.0,5.0,6.0,23.0,15.0,1.0,7.0,0.6522,<10%,1614286.3
189,Whatcom,37504.0,Lynden School District,5466.0,IMPACT Reengagement Program,R,12th Grade,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,,Suppressed: N<10,40043.2
190,Whatcom,37504.0,Lynden School District,4201.0,Lynden High School,P,12th Grade,251,131,0,120,1,3,1,55,1,13,177,10,0,13,6,89,3,0,10,11,29,241,250,238,245,162,248,226.0,34.0,,1.0,4.0,18.0,30.0,230.0,193.0,14.0,23.0,0.8391,2.60%,11208135.3
191,Yakima,39120.0,Mabton School District,5289.0,Mabton Jr. Sr. High,P,12th Grade,51,24,0,27,0,0,0,51,0,0,0,15,0,0,2,48,10,0,1,0,8,36,51,51,49,3,41,50.0,11.0,,2.0,2.0,2.0,6.0,55.0,48.0,1.0,6.0,0.8727,<5%,5511381.9
192,Chelan,4019.0,Manson School District,2623.0,Manson High School,P,12th Grade,47,24,0,23,0,0,0,30,0,0,17,9,0,0,2,37,3,0,0,1,8,38,45,47,45,10,44,46.0,6.0,1.0,,1.0,2.0,2.0,50.0,46.0,0.0,4.0,0.92,<6%,3224972.4
193,Mason,23311.0,Mary M Knight School District,5444.0,Mary M. Knight School,P,12th Grade,11,5,0,6,0,0,0,0,0,0,11,0,0,3,2,7,0,0,0,2,0,11,11,8,9,4,11,10.0,2.0,,,,2.0,1.0,11.0,9.0,0.0,2.0,0.8182,<10%,3447610.7
194,Stevens,33207.0,Mary Walker School District,3311.0,Mary Walker High School,P,12th Grade,39,21,0,18,4,0,0,4,0,4,27,0,0,0,3,27,0,0,4,2,5,39,39,39,36,12,39,40.0,9.0,,2.0,1.0,4.0,7.0,42.0,33.0,2.0,7.0,0.7857,<7%,2624668.1
195,Snohomish,31025.0,Marysville School District,1657.0,Heritage School,P,12th Grade,21,14,0,7,13,0,1,4,0,2,1,5,0,0,3,17,2,0,8,0,7,16,21,21,18,4,19,21.0,4.0,,2.0,4.0,3.0,4.0,21.0,4.0,8.0,9.0,0.1905,11.50%,2308352.6
196,Snohomish,31025.0,Marysville School District,1927.0,Legacy High School,P,12th Grade,95,57,0,38,10,0,2,14,1,9,59,2,0,3,16,43,0,1,14,7,25,93,93,92,79,52,95,89.0,11.0,2.0,1.0,3.0,3.0,9.0,91.0,60.0,22.0,9.0,0.6593,8.00%,4110645.8
197,Snohomish,31025.0,Marysville School District,5478.0,Marysville Getchell High School,P,12th Grade,410,212,0,198,5,36,14,91,2,40,222,23,0,48,8,136,2,2,24,8,39,387,408,362,402,274,408,389.0,35.0,,,9.0,29.0,23.0,401.0,345.0,18.0,38.0,0.8603,1.40%,20908341.5
198,Snohomish,31025.0,Marysville School District,5213.0,Marysville Pilchuck High School,P,12th Grade,270,131,0,139,11,17,5,54,0,27,156,11,0,19,12,114,3,5,15,4,40,259,265,251,258,156,267,291.0,26.0,1.0,7.0,7.0,25.0,24.0,293.0,222.0,31.0,40.0,0.7577,6.40%,18540007.6
199,Spokane,32354.0,Mead School District,1803.0,Mead Alternative High School (Closed after 2018-2019 school year),A,12th Grade,37,18,0,19,0,0,0,1,0,2,34,0,0,0,10,25,0,0,12,3,8,37,37,37,27,12,37,25.0,11.0,,,,3.0,6.0,30.0,20.0,7.0,3.0,0.6667,<6%,1445889.8
200,Spokane,32354.0,Mead School District,2402.0,Mead Senior High School,P,12th Grade,442,220,0,222,2,2,3,24,0,45,366,7,0,35,16,107,0,11,10,10,61,435,436,407,426,335,442,401.0,47.0,,,2.0,3.0,43.0,405.0,381.0,19.0,5.0,0.9407,2.80%,21465276.3
201,Spokane,32354.0,Mead School District,4491.0,Mt Spokane High School,P,12th Grade,385,186,0,199,2,7,3,31,7,26,309,26,0,33,11,114,0,2,10,5,44,359,384,352,374,271,385,351.0,50.0,,,1.0,4.0,36.0,365.0,344.0,16.0,5.0,0.9425,1.50%,20161059.2
202,Spokane,32326.0,Medical Lake School District,5042.0,Medical Lake Endeavors,A,12th Grade,11,3,0,8,1,0,0,0,0,1,9,0,0,0,0,5,0,0,3,0,2,11,11,11,11,6,11,14.0,1.0,,2.0,,1.0,1.0,14.0,6.0,5.0,3.0,0.4286,<10%,616017.8
203,Spokane,32326.0,Medical Lake School District,2890.0,Medical Lake High School,P,12th Grade,130,51,0,79,0,1,4,12,0,8,105,0,0,7,2,32,0,16,4,11,11,130,128,123,128,98,130,136.0,21.0,,1.0,1.0,1.0,27.0,130.0,127.0,0.0,3.0,0.9769,<2%,6925955.6
204,King,17400.0,Mercer Island School District,3029.0,Mercer Island High School,P,12th Grade,402,182,1,219,1,77,6,16,0,22,280,1,0,70,5,23,0,2,3,83,30,401,401,332,397,379,402,398.0,48.0,,4.0,4.0,6.0,35.0,411.0,382.0,15.0,14.0,0.9294,1.50%,21636113.2
205,Whatcom,37505.0,Meridian School District,2554.0,Meridian High School,P,12th Grade,137,71,0,66,1,8,0,23,1,9,95,3,0,8,2,51,2,3,4,11,24,134,136,129,135,86,135,130.0,18.0,,1.0,3.0,8.0,15.0,133.0,114.0,7.0,12.0,0.8571,<2%,6511440.9
206,Snohomish,31103.0,Monroe School District,1806.0,Leaders In Learning,A,12th Grade,31,16,0,15,0,0,1,11,0,2,17,2,0,0,9,23,0,0,9,3,11,29,31,31,22,8,31,33.0,3.0,,,3.0,4.0,4.0,32.0,15.0,10.0,7.0,0.4688,10.20%,1262720.8
207,Snohomish,31103.0,Monroe School District,4528.0,Monroe High School,P,12th Grade,403,202,0,201,1,10,4,87,1,15,285,20,0,0,8,121,1,0,12,27,63,383,403,403,395,282,402,383.0,40.0,1.0,3.0,9.0,11.0,44.0,379.0,325.0,30.0,24.0,0.8575,3.10%,22437881.5
208,Snohomish,31103.0,Monroe School District,1777.0,Sky Valley Education Center,5,12th Grade,70,43,0,27,1,1,0,3,1,7,57,0,0,0,0,5,0,0,3,2,0,70,70,70,70,65,70,68.0,7.0,1.0,2.0,,1.0,13.0,62.0,54.0,4.0,4.0,0.871,<4%,7631862.9
209,Grays Harbor,14066.0,Montesano School District,2180.0,Montesano Jr-Sr High,P,12th Grade,80,38,0,42,2,1,0,13,0,7,57,4,0,9,2,27,0,1,7,4,16,76,79,71,78,53,80,62.0,8.0,,,,3.0,11.0,59.0,48.0,8.0,3.0,0.8136,<3%,8722658.6
210,Lewis,21214.0,Morton School District,3112.0,Morton Junior-Senior High,P,12th Grade,22,8,0,14,0,1,0,1,0,3,17,0,0,0,1,13,0,1,2,0,2,22,22,22,21,9,22,23.0,4.0,,1.0,,3.0,3.0,24.0,18.0,2.0,4.0,0.75,<10%,2627476.0
211,Grant,13161.0,Moses Lake School District,3215.0,Moses Lake High School,P,12th Grade,520,268,0,252,2,10,4,222,0,12,270,30,0,0,9,253,26,1,49,12,43,490,519,520,511,267,494,503.0,70.0,2.0,9.0,17.0,25.0,90.0,483.0,395.0,35.0,53.0,0.8178,2.90%,29347106.3
212,Grant,13161.0,Moses Lake School District,5323.0,Skill Source Reingagement Program,R,12th Grade,114,64,0,50,0,1,0,62,0,0,51,5,0,0,1,85,3,1,47,3,17,109,113,114,113,29,111,97.0,19.0,,2.0,6.0,58.0,2.0,114.0,24.0,24.0,66.0,0.2105,<2%,313641.9
213,Yakima,39209.0,Mount Adams School District,2532.0,White Swan High School,P,12th Grade,56,32,0,24,26,0,0,21,0,6,3,18,0,0,11,55,4,0,12,6,15,38,56,56,45,1,52,56.0,8.0,,4.0,4.0,8.0,6.0,58.0,40.0,2.0,16.0,0.6897,9.20%,6834589.4
214,Whatcom,37507.0,Mount Baker School District,2343.0,Mount Baker Senior High,P,12th Grade,147,61,0,86,5,1,0,17,1,6,117,5,0,11,1,68,0,0,9,6,11,142,146,136,146,79,147,156.0,21.0,5.0,3.0,5.0,10.0,26.0,151.0,114.0,14.0,23.0,0.755,3.10%,9177814.6
215,Skagit,29320.0,Mount Vernon School District,2295.0,Mount Vernon High School,P,12th Grade,500,249,0,251,3,18,3,252,7,21,196,41,0,0,14,281,96,1,24,25,48,459,498,500,486,219,404,474.0,53.0,3.0,18.0,8.0,39.0,37.0,490.0,394.0,28.0,68.0,0.8041,2.60%,25728093.3
216,Skagit,29320.0,Mount Vernon School District,1992.0,Skagit Academy,A,12th Grade,21,10,0,11,0,0,1,1,0,0,19,0,0,0,0,3,0,0,0,0,3,21,21,21,21,18,21,19.0,3.0,,,,,2.0,20.0,17.0,3.0,0.0,0.85,<10%,2660001.8
217,King,17903.0,Muckleshoot Indian Tribe,1986.0,Muckleshoot Tribal School,Q,12th Grade,50,24,0,26,48,0,0,1,0,0,1,0,0,0,0,22,2,0,6,1,10,50,50,50,50,28,48,40.0,3.0,1.0,,3.0,3.0,1.0,42.0,31.0,4.0,7.0,0.7381,<5%,5739492.5
218,Snohomish,31006.0,Mukilteo School District,4247.0,ACES High School,A,12th Grade,86,46,0,40,1,3,10,28,1,9,34,6,0,0,12,56,1,0,15,2,2,80,86,86,74,30,85,73.0,11.0,,1.0,4.0,8.0,9.0,75.0,43.0,19.0,13.0,0.5733,5.60%,3093169.5
219,Snohomish,31006.0,Mukilteo School District,4433.0,Kamiak High School,P,12th Grade,498,226,0,272,0,113,14,42,3,47,279,15,0,28,6,91,0,0,16,34,54,483,496,470,492,407,498,465.0,51.0,2.0,3.0,1.0,11.0,50.0,466.0,434.0,15.0,17.0,0.9313,3.10%,25642177.5
220,Snohomish,31006.0,Mukilteo School District,3688.0,Mariner High School,P,12th Grade,518,242,0,276,8,67,49,189,14,42,149,90,0,5,13,327,1,0,37,9,80,428,513,513,505,191,517,464.0,98.0,3.0,1.0,11.0,34.0,80.0,482.0,394.0,39.0,49.0,0.8174,3.90%,30398683.8
221,Snohomish,31006.0,Mukilteo School District,5498.0,Mukilteo Reengagement Academy Open Doors,R,12th Grade,29,13,0,16,0,3,2,15,0,2,7,3,0,0,0,9,0,0,12,0,1,26,29,29,29,20,29,33.0,7.0,,,4.0,13.0,3.0,37.0,4.0,16.0,17.0,0.1081,<4%,72310.6
222,Yakima,39003.0,Naches Valley School District,2591.0,Naches Valley High School,P,12th Grade,98,46,0,52,1,2,0,18,0,2,75,1,0,12,1,40,2,1,3,2,12,97,97,86,97,58,96,101.0,6.0,,2.0,2.0,1.0,10.0,97.0,89.0,3.0,5.0,0.9175,<3%,4967638.0
223,Lewis,21014.0,Napavine School District,2273.0,Napavine Jr Sr High School,P,12th Grade,65,24,0,41,0,1,0,11,0,1,52,0,0,11,2,27,0,0,1,0,4,65,64,54,63,38,65,65.0,5.0,,,,1.0,12.0,58.0,54.0,3.0,1.0,0.931,<4%,4926793.6
224,Pend Oreille,26056.0,Newport School District,2518.0,Newport High School,P,12th Grade,70,34,0,36,0,0,1,2,0,2,65,0,0,14,4,27,0,1,8,8,8,70,70,56,66,43,70,69.0,20.0,4.0,,4.0,1.0,23.0,66.0,57.0,0.0,9.0,0.8636,<4%,5089212.3
225,Pend Oreille,26056.0,Newport School District,5118.0,Pend Oreille River School,A,12th Grade,24,11,0,13,5,0,0,1,0,1,15,0,0,0,4,18,0,0,2,1,5,24,24,24,20,6,24,19.0,7.0,,,3.0,1.0,1.0,25.0,16.0,5.0,4.0,0.64,<9%,276838.7
226,Spokane,32325.0,Nine Mile Falls School District,4333.0,Lakeside High School,P,12th Grade,112,57,0,55,1,1,2,9,0,5,94,0,0,0,1,29,0,2,2,2,18,112,112,112,111,83,112,118.0,11.0,,,1.0,4.0,15.0,114.0,107.0,2.0,5.0,0.9386,<3%,6054794.6
227,Whatcom,37506.0,Nooksack Valley School District,2459.0,Nooksack Valley High School,P,12th Grade,114,61,0,53,4,1,1,36,0,2,70,9,0,3,1,55,6,0,6,9,19,105,113,111,113,59,108,97.0,14.0,,,2.0,13.0,12.0,99.0,82.0,2.0,15.0,0.8283,3.30%,5938582.2
228,Grays Harbor,14064.0,North Beach School District No. 64,2728.0,North Beach Senior High School,P,12th Grade,46,23,0,23,2,1,2,3,1,5,32,0,0,12,2,33,1,0,4,1,14,46,46,34,44,13,45,37.0,9.0,,,,6.0,5.0,41.0,35.0,0.0,6.0,0.8537,9.60%,3224893.2
229,Franklin,11051.0,North Franklin School District,1754.0,Palouse Junction High School,A,12th Grade,18,7,0,11,0,0,0,17,0,0,1,7,0,0,0,14,4,0,4,0,7,11,18,18,18,4,14,14.0,1.0,,,,2.0,1.0,14.0,12.0,0.0,2.0,0.8571,<10%,595383.5
230,Kitsap,18400.0,North Kitsap School District,5085.0,Kingston High School,P,12th Grade,202,91,0,111,13,3,0,19,0,24,143,5,0,27,4,59,6,7,12,9,21,197,202,175,198,143,196,203.0,25.0,,1.0,2.0,3.0,35.0,193.0,181.0,6.0,6.0,0.9378,6.20%,10007445.8
231,Kitsap,18400.0,North Kitsap School District,3236.0,North Kitsap High School,P,12th Grade,315,163,0,152,2,14,4,36,4,29,226,7,0,56,5,66,3,31,7,16,25,308,315,259,310,249,312,294.0,54.0,,1.0,,3.0,52.0,296.0,288.0,4.0,4.0,0.973,2.20%,15082874.0
232,Mason,23403.0,North Mason School District,1680.0,James A. Taylor High School,A,12th Grade,23,9,0,14,3,0,0,5,0,0,15,2,0,0,6,18,0,3,8,2,5,21,23,23,17,5,23,18.0,1.0,,1.0,1.0,3.0,1.0,18.0,5.0,8.0,5.0,0.2778,<9%,842831.5
233,Mason,23403.0,North Mason School District,3175.0,North Mason Senior High School,P,12th Grade,182,75,0,107,1,1,2,40,0,2,136,12,0,2,11,77,0,8,6,8,27,170,182,180,171,105,182,158.0,28.0,2.0,3.0,2.0,10.0,13.0,173.0,148.0,8.0,17.0,0.8555,5.00%,9958888.6
234,Thurston,34003.0,North Thurston Public Schools,3010.0,North Thurston High School,P,12th Grade,330,166,0,164,2,41,11,60,5,32,179,20,0,16,12,116,0,21,14,18,23,310,329,314,318,214,330,303.0,67.0,3.0,1.0,3.0,18.0,63.0,307.0,265.0,17.0,25.0,0.8632,3.10%,16885582.4
235,Thurston,34003.0,North Thurston Public Schools,4427.0,River Ridge High School,P,12th Grade,330,153,0,177,7,27,20,75,14,43,144,14,0,2,25,136,0,29,13,27,39,316,330,328,305,194,330,304.0,73.0,2.0,3.0,7.0,7.0,57.0,320.0,280.0,21.0,19.0,0.875,1.10%,16483352.8
236,Thurston,34003.0,North Thurston Public Schools,4314.0,South Sound High School,A,12th Grade,123,67,0,56,6,4,3,32,3,12,63,7,0,0,32,85,0,6,23,15,28,116,122,123,91,38,123,64.0,13.0,,,1.0,11.0,0.0,77.0,48.0,17.0,12.0,0.6234,12.00%,3504791.2
237,Thurston,34003.0,North Thurston Public Schools,3710.0,Timberline High School,P,12th Grade,386,200,0,186,1,23,20,63,12,52,215,7,0,6,24,146,0,36,25,29,43,379,383,380,362,240,386,381.0,61.0,,2.0,3.0,4.0,88.0,354.0,337.0,8.0,9.0,0.952,3.50%,17936717.8
238,Stevens,33211.0,Northport School District,2958.0,Northport High School,P,12th Grade,14,7,0,7,1,0,0,1,0,1,11,0,0,1,0,10,0,0,1,0,3,14,14,13,14,4,14,16.0,5.0,,,1.0,1.0,2.0,19.0,13.0,4.0,2.0,0.6842,12.50%,1253488.5
239,King,17417.0,Northshore School District,3106.0,Bothell High School,P,12th Grade,336,166,0,170,2,37,10,53,0,33,201,13,0,10,4,62,0,0,9,24,51,323,335,326,332,274,336,297.0,34.0,,3.0,4.0,9.0,20.0,311.0,280.0,15.0,16.0,0.9003,3.20%,20067979.6
